Customer,Invoice,Invoice Date,Transaction Type,Transaction Date,Amount,Open Balance
80746000,76506,9/03/15,INV,9/03/15,994.0,994.0
80746000,76524,9/08/15,INV,9/08/15,12230.04,12230.04
80773600,76342,8/14/15,INV,8/14/15,2325.75,2325.75
80773600,76511,9/04/15,INV,9/04/15,1993.5,1993.5
80830200,76376,8/18/15,INV,8/18/15,6835.5,6835.5
80832700,76425,8/26/15,INV,8/26/15,14192.7,14192.7
80845500,76378,8/18/15,INV,8/18/15,4922.4,4922.4
80845500,76551,9/11/15,INV,9/11/15,4087.35,4087.35
80890500,76363,8/17/15,INV,8/17/15,240.0,240.0
80921700,74025,9/12/14,INV,9/12/14,142.53,142.53
80921700,76525,9/08/15,INV,9/08/15,1110.52,1110.52
81102500,76245,7/30/15,INV,7/30/15,3085.2,3085.2
81117400,76231,7/29/15,INV,7/29/15,3184.1,3184.1
81117400,76379,8/18/15,INV,8/18/15,2484.54,2484.54
81117400,76380,8/18/15,INV,8/18/15,2533.89,2533.89
81117400,76552,9/11/15,INV,9/11/15,2912.47,2912.47
81117400,76553,9/11/15,INV,9/11/15,812.92,812.92
81157500,76292,8/07/15,INV,8/07/15,26031.78,26031.78
81157500,76327,8/13/15,INV,8/13/15,506.22,506.22
81157500,76328,8/13/15,INV,8/13/15,2081.25,2081.25
81266000,76441,8/27/15,INV,8/27/15,21242.48,21242.48
81310000,76569,9/14/15,INV,9/14/15,4673.35,4673.35
81312900,76475,8/31/15,INV,8/31/15,2300.56,2300.56
81405500,76531,9/09/15,INV,9/09/15,1669.68,1669.68
81472300,76442,8/27/15,INV,8/27/15,2024.88,2024.88
81473800,76492,9/02/15,INV,9/02/15,1361.0,1361.0
81537000,76451,8/28/15,INV,8/28/15,2965.89,2965.89
81580000,76156,7/20/15,INV,7/20/15,4116.43,4116.43
81580000,76288,8/06/15,INV,8/06/15,4506.65,4506.65
81580000,76512,9/04/15,INV,9/04/15,7303.79,7303.79
81591500,76289,8/06/15,INV,8/06/15,214.0,214.0
81591500,76329,8/13/15,INV,8/13/15,3625.47,3625.47
81591500,76345,8/14/15,INV,8/14/15,2720.0,2720.0
81591500,76570,9/14/15,INV,9/14/15,6617.0,6617.0
81730000,76452,8/28/15,INV,8/28/15,13005.58,13005.58
81730000,76554,9/11/15,INV,9/11/15,33921.58,33921.58
81780000,76264,8/03/15,INV,8/03/15,33931.88,33931.88
81780000,76293,8/07/15,INV,8/07/15,31500.0,31500.0
81780000,76322,8/12/15,INV,8/12/15,48.83,48.83
81780000,76364,8/17/15,INV,8/17/15,48600.29,48600.29
81780000,76406,8/24/15,INV,8/24/15,50978.22,50978.22
81780000,76464,8/31/15,INV,8/31/15,51866.49,51866.49
81780000,76481,9/01/15,INV,9/01/15,949.5,949.5
81780000,76482,9/01/15,INV,9/01/15,19536.82,19536.82
81780000,76507,9/03/15,INV,9/03/15,7875.0,7875.0
81780000,76526,9/08/15,INV,9/08/15,54410.21,54410.21
81780000,76555,9/11/15,INV,9/11/15,1552.98,1552.98
81780000,76556,9/11/15,INV,9/11/15,2200.0,2200.0
81780000,76571,9/14/15,INV,9/14/15,1123.09,1123.09
81780000,76572,9/14/15,INV,9/14/15,56742.07,56742.07
81809300,76532,9/09/15,INV,9/09/15,2236.3,2236.3
81810200,76418,8/25/15,INV,8/25/15,1186.12,1186.12
81810200,76557,9/11/15,INV,9/11/15,2898.06,2898.06
81812400,76169,7/21/15,INV,7/21/15,1524.75,1524.75
81812400,76213,7/28/15,INV,7/28/15,4270.56,4270.56
81812400,76533,9/09/15,INV,9/09/15,3222.6,3222.6
81876500,76127,7/15/15,INV,7/15/15,3794.2,3794.2
81876500,76214,7/28/15,INV,7/28/15,1944.16,1944.16
81876500,76215,7/28/15,INV,7/28/15,1146.85,1146.85
81876500,76312,8/11/15,INV,8/11/15,1430.96,1430.96
81876500,76365,8/17/15,INV,8/17/15,1212.58,1212.58
81876500,76384,8/19/15,INV,8/19/15,2612.96,2612.96
81876500,76419,8/25/15,INV,8/25/15,1362.72,1362.72
81876500,76450,8/27/15,INV,8/27/15,903.82,903.82
81876500,76513,9/04/15,INV,9/04/15,1396.19,1396.19
81877500,76426,8/26/15,INV,8/26/15,2085.6,2085.6
81877500,76514,9/04/15,INV,9/04/15,5093.2,5093.2
81885200,75307,3/24/15,INV,3/24/15,3075.8,2919.0
81885200,75868,6/08/15,INV,6/08/15,6167.31,150.75
81885200,75911,6/11/15,INV,6/11/15,1776.0,1776.0
81885200,76216,7/28/15,INV,7/28/15,5112.73,262.4
81885200,76290,8/06/15,INV,8/06/15,1466.64,1466.64
81885200,76366,8/17/15,INV,8/17/15,3568.54,3568.54
81885200,76391,8/19/15,INV,8/19/15,5491.0,5491.0
